lot_area,overall_qual,totrms_abvgrd,saleprice
10140,5,6,153500
14584,1,4,13100
8158,7,8,224900
7500,7,6,176000
10678,8,9,285000
15256,8,6,282922
14200,7,8,226000
12438,8,10,361919
16023,9,11,457347
20064,8,5,279000
9819,6,5,196000
10400,7,6,152000
11643,5,12,200000
11645,8,6,294900
7328,7,6,224243
7822,6,7,92000
9018,7,8,179540
13472,10,8,386250
1533,4,4,106500
11003,10,10,310000
10790,7,8,252000
7128,7,7,164000
7713,7,7,177594
6240,5,5,123900
22420,6,10,239000
15300,5,7,169000
3196,7,7,234000
9360,6,5,173000
11241,6,5,149000
9260,7,6,170000
7993,7,6,225000
9239,5,6,144900
10044,5,6,144000
3182,8,6,192000
7626,5,5,145500
7008,4,5,86900
12160,6,6,149500
6305,5,5,119750
8846,6,6,173900
10659,5,6,136500
13108,8,9,270000
13500,6,4,235000
7750,7,7,156000
12450,5,6,153000
4500,6,5,165000
11198,9,11,325000
6221,5,5,140000
13200,6,9,202500
8769,9,7,367294
10200,6,5,175000
9550,7,7,140000
10331,7,6,174000
9587,7,5,190000
9900,5,7,129000
22002,6,6,200000
13000,6,8,193500
8250,6,6,145000
8170,7,7,218000
12048,5,7,135000
10858,5,6,146500
7577,6,6,194700
7500,7,6,230348
6120,6,5,109500
23580,6,6,242500
5306,7,5,239000
8092,6,6,156000
8593,4,5,109008
11067,2,4,68104
11929,8,9,290000
9900,5,6,159000
4882,4,5,87000
11423,8,6,272000
8772,7,6,198000
7628,4,8,119164
8335,5,5,93000
8220,7,8,226750
10615,3,7,95000
6000,6,6,139900
5350,3,6,76500
5400,4,4,86900
17979,5,6,152500
9520,4,5,99000
5330,4,5,82500
8012,6,5,179200
9000,5,6,142500
14299,4,5,115400
7050,7,7,226000
3180,7,4,144152
16451,8,9,370000
12887,5,5,149900
15578,6,8,172785
7200,5,5,129000
17043,6,7,181000
10000,5,6,148000
8050,6,4,117250
3182,7,7,192500
1950,6,6,151000
7700,5,5,112500
8731,5,6,144000
8232,9,6,370967
2280,6,6,149900
8935,7,7,195000
9125,7,7,163900
11075,6,7,182000
13438,9,9,410000
11070,5,5,152000
7800,7,8,184000
7060,7,8,206300
11836,5,8,146500
8382,4,5,108000
10192,7,8,170000
4426,6,3,145000
2280,7,4,123000
2887,6,6,173000
8520,6,5,105900
1596,4,5,91000
15600,5,7,158000
9313,7,7,190000
11064,8,4,217500
9000,5,7,165500
12000,7,7,174500
7692,4,6,100000
14267,6,6,172000
9675,5,5,120000
8400,4,4,82000
7500,6,6,127000
9600,6,8,129500
5814,8,4,187500
14860,8,6,300000
14803,6,8,190000
7550,4,7,96000
8125,7,7,241000
13673,5,8,143900
1533,4,5,87550
7658,9,6,319900
12292,9,11,356383
11923,9,7,239000
10010,7,9,287500
12358,5,7,128500
8577,7,7,185088
8640,7,7,229800
10447,5,5,124500
9600,5,6,142000
4899,6,6,149000
9246,5,8,135000
4928,6,5,128000
12692,8,10,430000
7476,5,5,145000
5362,5,8,139000
12090,6,7,178000
12539,10,10,460000
11888,6,10,214500
7082,5,10,160000
8755,7,8,214000
4080,6,6,128900
32463,4,7,168000
12217,8,8,310013
3696,8,5,170000
7560,5,6,133700
10592,6,7,165000
1680,6,5,89500
10382,6,6,140000
2522,7,7,134000
9370,6,7,248500
10246,4,3,145000
11475,6,6,179900
9986,8,7,147000
10475,5,6,136000
6000,6,6,128000
4280,4,4,88750
10895,5,5,122500
17503,6,6,97500
9723,6,5,135000
11694,9,9,314813
8470,3,6,85000
6000,6,4,134900
10519,5,6,137000
10437,8,7,350000
7514,5,6,145000
13654,9,9,418000
5747,3,5,64000
4500,5,6,159434
11830,8,6,260261
8520,5,6,166000
6760,5,6,130000
6191,5,6,112000
8700,5,6,155000
12003,8,8,269500
12700,6,6,172000
13125,7,6,219500
8638,5,5,133500
9967,7,8,170000
9600,8,7,150000
12774,5,5,130000
8163,5,6,143000
9900,5,5,140000
13651,7,8,244000
7200,5,6,101000
9750,5,5,125000
11184,6,7,183000
5520,6,8,104000
6390,6,4,112500
10240,6,7,207500
9316,7,7,225000
7200,5,5,119900
12228,7,8,293000
10335,5,7,180000
12328,6,6,169900
8930,6,8,112000
9672,6,6,152000
13975,9,10,300000
7819,6,6,107000
11340,4,11,122500
1680,6,5,89000
6001,6,5,95000
11700,6,7,143450
12858,9,10,376162
9300,5,6,167500
7018,5,6,153337
6629,6,6,103600
10650,5,5,128200
2117,6,5,177500
13650,8,7,320000
8433,6,7,190000
1680,6,7,91500
6000,5,7,93000
8500,4,6,40000
6882,6,7,127000
8712,4,5,50138
7917,6,6,148000
6900,5,4,120500
9900,6,7,139500
13286,9,8,320000
12888,7,7,219000
8885,5,5,131000
8857,6,7,171925
14137,5,7,177900
6720,6,7,141500
7500,6,7,191000
13072,6,5,158000
10656,8,6,248900
7200,5,7,175000
8800,6,7,185900
10800,7,6,163000
9000,5,8,115000
13014,6,6,157500
15896,7,8,245000
5395,8,5,180000
5105,7,4,148800
9473,8,7,237000
8400,2,3,60000
12102,5,6,165000
10905,7,9,240000
9556,7,6,160000
6430,6,6,128000
6040,4,6,82000
14695,6,5,256000
9000,7,7,143000
8368,7,7,231713
41600,5,7,155000
6490,5,4,128500
7290,7,7,168000
7472,7,7,184000
7000,5,6,124000
11717,6,6,185000
11194,8,7,230500
11250,7,8,227000
8633,6,7,173500
8400,5,6,140000
10037,8,6,247000
8014,6,5,149900
12250,5,5,158000
2403,7,4,147110
8600,6,7,119500
13680,5,6,205000
10800,5,6,148000
5389,8,5,236500
10890,5,6,137000
9768,5,5,122000
8993,7,6,176485
11672,5,4,109000
9763,7,5,330000
9836,6,7,143000
10557,9,9,410000
8462,6,7,201000
10818,4,7,80000
7259,6,9,259500
11800,7,10,279900
7500,5,6,154000
6488,5,6,128000
14230,8,7,256300
7810,4,7,188000
14331,8,7,312500
3182,7,4,151000
1920,5,6,122500
10110,6,7,188000
10984,7,8,209700
14082,8,7,441929
8480,6,7,163000
12205,6,9,187500
15750,8,5,220000
8050,5,5,127000
7200,5,5,107500
6300,6,9,128000
5232,5,4,73000
11846,9,6,374000
16900,8,10,421250
9636,6,7,178000
10012,4,6,137500
14303,8,7,301500
5707,6,6,105000
9360,6,4,157500
5680,5,6,117000
7000,5,5,105000
10480,6,6,115000
11578,9,7,360000
7018,5,8,118858
9130,6,7,173000
10800,3,4,78500
8244,7,7,183500
6000,4,4,93000
3621,8,7,226500
7837,6,7,178000
10665,7,7,226000
10457,5,7,173000
8281,5,5,62383
14948,9,11,446261
7000,7,6,160000
3940,7,7,219990
9382,7,6,191000
6854,5,6,136500
11515,4,5,80000
13837,7,9,229000
9938,7,8,236000
12633,10,8,392000
6876,6,8,149000
3951,10,7,345000
9856,5,8,169000
17808,4,4,109900
9627,7,9,188000
6000,6,6,132500
9757,5,5,143000
9280,5,7,125000
14780,9,7,415000
7740,4,6,125500
9600,6,6,139000
13478,10,10,451950
10926,5,10,119900
6853,8,6,220000
10667,6,7,167300
8212,5,6,122000
9100,5,10,125000
6000,5,5,112500
9316,7,7,191000
9464,6,5,136000
10400,7,6,197900
5310,6,5,117000
7406,7,6,194000
4538,9,5,285000
10106,5,6,127500
13346,7,9,268000
9639,4,7,137000
15387,7,8,215000
10050,5,5,129500
6240,5,7,115000
7506,5,5,114000
8900,4,5,107000
8480,5,6,118500
6000,6,5,120000
8847,8,7,260000
8050,5,6,136000
8294,4,5,123000
7920,6,6,89500
18494,6,6,199500
7162,5,6,109900
10918,7,9,234000
4435,6,3,155900
11250,4,8,161500
14375,6,7,137500
9045,5,12,76500
10029,6,8,211000
4060,6,5,181000
9020,6,6,174900
11777,5,6,164500
10171,7,7,214000
10400,7,7,185000
6240,4,6,123000
12150,6,5,183500
2645,8,5,174000
22692,5,6,130000
9600,7,6,178000
13830,5,6,189900
4435,6,4,144000
5890,6,5,120500
10859,5,6,145000
5330,8,6,251000
10778,4,8,136500
6845,4,6,82500
21780,2,4,57625
10307,7,6,212500
4500,6,5,164000
9060,6,6,139000
2160,7,4,160000
7669,5,5,149000
9858,5,5,130000
10300,7,9,140000
8125,8,8,264500
14850,5,6,141000
4274,7,4,199900
9650,6,6,167900
14585,6,7,181900
9000,8,7,262500
13774,7,8,230000
5119,9,5,328900
9254,8,7,232698
10324,8,5,221800
8375,5,6,152400
9750,7,6,213000
7632,7,7,184900
15750,5,5,157000
9240,5,6,144000
10400,6,5,192350
8800,7,6,163500
11839,7,10,262280
9135,7,7,214000
14115,6,6,230000
14154,7,9,280000
6565,4,6,140000
7700,6,7,155000
4761,3,5,64500
12361,6,8,218000
9720,5,6,160000
8640,8,6,208900
47007,5,11,284700
3180,7,5,146000
14963,8,4,245500
5000,6,6,113000
16870,8,7,296000
14157,9,8,377426
12456,10,7,337500
14836,10,8,552000
6956,4,5,97900
7862,6,4,208300
11050,7,8,213000
8924,7,8,188000
9610,6,7,162000
13710,5,6,152000
12552,7,8,254900
14565,7,6,189000
18559,7,7,235000
10880,5,5,125000
2280,7,4,120000
31250,1,6,81500
11841,6,5,118500
9187,9,7,370878
6270,5,8,145000
15660,7,8,311500
3087,7,6,210250
13450,7,8,200000
10125,5,8,126000
8146,4,6,114000
9600,4,7,87500
12328,8,10,349265
10141,8,6,203000
8529,7,6,189000
8127,7,6,209000
8400,6,8,160000
10751,5,5,129000
10010,5,6,170000
4280,5,4,90350
9600,6,5,79000
9800,5,5,149900
7560,5,5,123000
9600,4,8,87000
9880,6,6,171000
9600,6,6,119000
7931,5,6,132500
5100,8,7,161000
9720,9,7,274000
8521,5,5,125000
8741,5,8,98500
12461,8,5,262000
6950,5,5,134900
16905,5,5,170000
7155,6,6,135000
9205,6,9,290000
7697,7,6,173500
7800,5,8,225000
14357,5,6,140500
8775,5,5,126000
2645,8,7,170000
13568,5,5,156000
16321,5,6,207500
8640,8,8,255000
1596,4,4,94900
7315,5,6,140000
7614,3,7,96900
11000,5,6,154000
10337,8,7,184900
14803,10,7,385000
8765,4,6,106500
12720,8,10,327000
11128,9,9,468000
5160,6,4,135000
13072,6,6,142500
8814,5,7,141000
7000,5,5,107500
4484,5,4,108500
9019,6,6,150000
8520,3,6,78000
11932,8,7,235128
14330,5,5,163000
8777,3,5,84900
2308,6,6,147000
2500,7,7,155000
8049,7,6,180000
5600,4,7,55000
9590,7,6,187500
7200,6,6,125000
11500,7,6,250000
6756,5,5,78000
11426,4,9,118000
12030,8,7,318000
9554,8,8,215000
8534,4,4,72000
11361,6,7,180000
12416,6,7,184000
9600,5,6,124500
8267,5,8,135000
6000,6,6,164900
9600,7,6,140000
7350,5,6,128000
7703,6,6,153000
4347,6,7,127500
9600,5,7,141500
12256,8,9,325000
9547,7,6,188500
7200,6,5,185000
13072,6,6,146000
3600,6,5,119000
1680,5,6,112000
3316,8,4,197000
16387,9,11,412083
13265,8,7,271000
3242,7,6,200000
8991,7,5,174000
8000,5,6,156500
9303,6,7,204000
8544,5,6,149350
11425,5,4,137000
11404,7,8,222500
8229,6,6,166000
4485,5,5,109500
15635,4,6,122000
3153,5,5,99900
11096,8,7,249700
14000,6,6,158500
7733,6,5,139500
8098,6,5,202000
8393,5,8,145000
12900,4,6,108959
57200,5,7,160000
8078,5,8,128600
12384,7,7,197900
9927,7,5,172000
16300,5,5,130000
7915,6,6,195000
21750,5,4,113000
9116,8,7,209000
14419,7,7,213500
13070,5,5,126000
9855,6,7,127500
8118,9,6,334000
10920,6,5,157000
6600,5,5,125500
8199,7,7,189000
9947,7,6,173000
14330,7,9,260000
10769,8,7,212000
8846,5,5,148000
10600,6,8,136300
18890,5,12,190000
9142,5,10,139500
7750,7,6,162000
6060,4,4,100000
10172,5,5,126500
10380,7,8,301000
9337,6,7,204750
7200,4,6,90000
9600,5,10,130000
8640,5,7,155000
7931,5,6,155000
11625,5,6,131500
9600,6,7,153000
11478,8,7,306000
7740,9,6,332200
9520,8,7,293077
17199,4,4,128000
5400,6,5,152000
10800,4,6,135000
9900,6,8,117500
6000,6,6,127500
17778,8,7,373000
1477,6,6,98000
19645,7,6,203135
8750,7,7,191000
7785,5,6,98000
10800,5,5,179000
9139,8,7,245000
10140,7,7,213250
10122,4,3,89900
10141,7,7,185000
2205,6,6,113500
10914,3,4,68000
9196,7,7,201000
9803,7,7,226700
17169,10,7,500067
9171,7,7,201490
9750,5,5,155000
8604,5,4,145000
6155,6,6,128000
9487,6,7,187000
3675,6,5,145500
10200,4,4,75000
11750,7,7,217000
11896,7,6,220000
10400,6,8,165150
10970,6,5,147000
11883,7,6,203000
10552,5,6,165500
8248,3,5,67000
9760,6,7,187000
2998,6,4,180000
6821,6,8,146500
11354,7,7,270000
9069,6,5,147000
8064,6,5,132000
5400,4,6,105000
5687,5,9,135900
53504,8,12,538000
7500,7,5,147000
13173,9,6,325000
9488,5,6,124000
13526,5,5,137000
10410,4,8,142900
12000,5,6,147000
7830,5,6,128000
8850,7,7,144000
7132,8,6,205000
9937,5,7,167000
5720,5,5,66500
12585,8,8,315000
11103,7,8,155835
8013,8,6,239500
10872,9,6,300000
11305,8,6,282000
9100,5,6,120000
39104,7,5,241500
10110,9,7,336860
9786,3,6,91000
5330,8,5,207500
3811,7,5,250000
3010,7,5,167240
3435,7,5,178000
10800,6,6,127000
10456,6,8,218500
8475,4,4,135750
8197,7,7,214000
10994,8,7,257000
6000,6,5,157000
7288,5,5,102000
13360,5,5,163500
10335,7,6,204000
11767,5,7,103500
5400,5,6,118000
9100,7,6,235000
7728,5,6,132500
8778,8,7,221300
8487,7,6,190000
9930,7,6,222000
17500,7,7,335000
10206,8,7,257500
14587,9,6,264132
7800,5,5,130000
4960,5,7,137000
7392,5,5,99500
7424,5,5,160250
2522,7,7,130000
3672,5,5,75200
7706,6,5,131250
12929,6,5,148000
9316,5,5,124100
12122,7,6,178400
7711,4,8,150000
12352,7,7,217000
12447,8,8,252000
7500,7,6,152000
6120,7,5,132000
9576,6,5,120000
9942,9,8,338500
7898,4,4,105000
21872,7,6,175000
10005,7,8,192000
12393,7,8,195000
9000,8,6,210000
7875,7,8,211000
6000,4,6,128000
10175,6,7,180500
13600,5,10,90000
12172,5,4,138500
10237,7,8,169985
7000,5,6,146000
11228,7,9,228000
8000,5,6,159000
10728,8,8,266000
6000,5,7,139000
6931,4,4,91900
8760,8,7,212999
16033,9,8,326000
9024,6,8,179000
11563,8,8,294000
1680,6,5,97000
8760,7,7,239799
9600,5,7,161000
4435,6,3,136500
1680,6,5,118000
7599,4,4,129500
7264,7,5,205000
32668,6,9,200624
11825,8,7,322400
10200,8,7,293200
8849,9,6,266000
11184,6,7,172500
8820,5,7,124900
6615,6,6,149000
8773,7,6,185500
11088,8,5,220000
9158,8,7,225000
8280,6,4,124000
8544,3,6,92900
8635,5,5,126500
12735,4,5,111250
11000,8,8,248000
7590,5,6,136870
4435,6,4,133000
10152,5,6,135000
10295,4,4,111900
7763,5,6,140000
17120,4,7,134432
13870,10,8,455000
10120,8,8,290000
10820,7,7,235500
9600,6,7,156500
8121,6,7,172400
11639,7,6,182000
13758,9,6,372397
9771,6,9,260000
9000,5,4,72000
10320,3,8,82375
10448,6,7,158000
8635,5,6,127000
11980,7,4,270000
12327,8,5,316600
11512,6,5,177000
14684,7,7,271900
2665,5,4,115000
5250,8,8,122000
18044,8,6,315000
9245,7,8,213500
7200,5,5,109500
6000,5,5,115000
3628,7,5,176400
9156,6,7,185750
9066,8,7,230000
6410,4,5,90000
63887,10,12,160000
7244,5,5,129500
10152,6,6,153000
3000,6,4,173733
7500,6,6,146000
17360,6,6,172500
15957,6,6,188000
9600,6,6,181500
10667,7,6,212000
10530,7,8,188900
5000,3,4,64500
17082,6,8,230000
16287,5,7,122000
11050,5,6,133500
10440,6,8,256000
2665,5,6,129500
10389,8,8,318000
9658,8,6,255900
7500,6,5,143500
14122,8,8,259000
21000,6,7,217000
8737,6,6,210000
8750,5,5,148500
8499,6,6,156932
11072,5,10,145000
6762,7,6,200000
15431,10,7,450000
3230,6,6,172500
10800,6,9,240000
11143,8,8,340000
8925,8,7,201000
10356,5,5,122000
12299,7,7,213000
9900,6,5,175000
6762,7,6,195400
11625,5,6,113500
6435,6,6,140200
8450,5,5,116000
11577,9,9,359900
8340,6,6,157500
10708,5,7,190000
6911,5,5,100000
8800,6,6,160000
10739,7,6,203000
9572,8,9,302000
8012,6,5,143000
16226,8,9,267000
10899,4,8,103000
4500,6,5,153500
16647,5,6,171000
8707,4,9,107000
8300,6,5,128500
9770,5,5,116000
17400,5,5,160000
5070,8,5,180000
7920,5,5,133000
7020,7,8,215000
7500,6,7,177500
10612,8,7,215000
6120,5,6,150000
12376,7,11,320000
10004,6,6,167000
8250,5,6,125000
12205,3,6,65000
11175,7,6,200141
9965,7,6,235876
8660,5,11,123000
12375,5,7,137500
8070,4,5,123600
8658,6,6,160000
8063,6,7,181000
8235,5,4,125000
11700,6,8,154000
12961,6,7,231000
8450,5,6,142000
22950,10,12,475000
5748,8,5,375000
10500,4,5,115000
7500,7,6,185000
10042,6,4,108500
2544,7,4,147400
3768,7,6,156000
10320,5,6,120000
9734,7,7,167000
3182,7,7,191000
8872,6,7,161500
12198,5,7,130000
8480,5,5,132500
10200,5,5,144000
9555,5,11,141000
7200,4,5,117000
6780,6,5,84500
53227,4,6,256000
9100,5,5,117500
9600,5,7,160000
14175,5,6,187000
14277,8,7,350000
9000,5,8,133000
13693,8,9,417500
3635,7,7,175900
10933,9,8,323262
8450,7,6,185000
8550,6,4,129800
12182,7,7,220000
6120,4,6,133000
10800,4,6,133500
12760,6,9,170000
7655,6,7,168000
10560,6,6,140750
7500,6,7,204000
9505,7,8,222500
10205,5,6,134500
4379,8,6,214000
7800,5,5,119900
12108,4,8,118000
7000,5,6,135000
13053,6,8,207000
8400,6,7,136500
6000,4,4,107900
6240,6,6,126000
31770,6,7,215000
12474,10,9,426000
9600,5,5,147000
8574,6,6,147500
14418,9,7,383000
10400,7,6,241500
15564,6,6,147500
13543,8,9,355000
6130,5,5,109500
5925,2,4,45000
24090,7,10,244400
9600,6,7,167000
8158,7,7,200000
5220,5,4,80000
8172,5,5,115000
9000,6,6,139000
7844,6,6,149500
9084,4,7,108000
10800,4,7,106250
8556,7,5,194000
9100,5,6,129500
8668,5,8,126000
11767,5,6,120000
8400,7,7,213000
3874,8,4,190000
8076,6,6,183500
10090,7,6,172000
8877,4,3,100000
11058,7,6,218836
10800,6,7,163000
10936,7,6,206580
8461,6,8,163990
7518,5,7,116500
8010,7,7,188000
10050,5,6,175000
4740,8,5,182000
6978,5,5,103000
11400,10,8,466500
9240,6,6,149500
2304,7,4,142500
7223,5,6,136500
3612,6,5,137000
12680,7,6,226500
10176,7,5,171500
10780,5,6,132500
8544,3,6,87500
10646,7,7,223000
8400,6,7,174000
15428,5,4,142000
11216,8,7,232600
10140,6,5,181000
3964,6,10,151400
11428,8,7,250000
10421,7,7,196500
13500,7,8,185000
9000,6,5,113000
8089,8,7,392000
9400,6,4,127500
2117,6,4,177000
10625,6,9,265000
8413,8,8,312500
13500,10,9,325000
15676,8,6,275000
9950,7,9,290000
15410,6,7,169000
6000,5,4,89000
8402,6,7,180400
10655,8,7,284000
10150,5,5,114500
10084,7,7,212900
16285,7,6,187100
3230,6,5,176000
21579,6,7,215000
8320,7,6,185900
6960,4,5,120500
21930,5,7,192140
6600,5,5,130500
8405,4,9,98000
11778,9,7,475000
8967,5,6,67000
10562,8,8,325624
12864,7,4,245000
13695,5,6,159000
10289,5,6,156000
15431,10,10,555000
11120,6,6,162500
9069,6,8,224500
47280,6,6,133000
7875,7,8,180000
6600,5,6,134500
13682,10,10,438780
9150,6,6,165000
7150,5,5,100000
12285,7,5,176000
17920,5,6,170000
3684,7,7,174000
7006,6,6,127000
8390,7,7,185900
5784,5,4,91300
9135,6,7,200000
10496,6,7,143000
13650,5,8,172500
8308,4,4,110000
9450,4,6,140000
9317,6,6,176432
7153,6,6,179200
8814,7,6,203000
9849,7,7,248328
14463,9,7,316500
5190,7,5,125600
9750,5,5,110000
6000,4,5,108500
8712,5,4,55993
11851,5,7,129000
13811,6,5,176000
10143,6,6,154000
18265,6,6,180000
4224,5,6,134000
12615,6,7,243000
14536,8,9,270000
9187,6,5,134000
9900,7,9,260000
8333,7,7,168675
10147,6,7,160000
5914,5,5,95000
11646,6,7,173000
7200,7,5,187750
20544,7,7,215000
9981,5,6,120000
8251,7,7,249000
10140,7,7,164500
8239,7,5,230000
5700,7,6,140000
7200,5,4,118900
9178,8,6,239900
4043,6,4,146300
4224,5,6,124000
11235,5,6,130000
8450,7,6,179000
11851,7,5,180500
4608,4,4,80000
9262,8,7,287090
12702,5,4,97000
2938,7,5,246990
18160,6,6,154204
11355,7,6,186000
1680,5,6,111750
14300,9,10,500000
10616,7,6,177439
11308,9,10,335000
10480,7,8,205000
5118,8,4,212000
3811,8,5,246000
10825,7,6,181900
5500,5,6,130000
9600,5,7,132000
9317,7,7,220000
11838,8,7,236500
8004,8,8,263435
6876,6,9,141000
8396,7,9,213000
9803,7,6,179781
6240,8,6,234250
15498,8,10,287000
12891,8,8,257500
6180,6,5,102000
7449,7,6,139400
10410,3,6,105000
15865,8,8,268000
19690,6,8,274970
3182,7,5,180000
9600,7,7,161000
11100,4,6,84900
13587,5,5,119000
11447,8,7,370000
7242,7,6,175900
7018,5,12,142953
9466,8,5,279700
8400,5,6,132000
11050,9,8,313000
11040,4,7,108000
6931,7,7,165400
12438,6,6,187000
15138,8,9,403000
12046,6,8,195000
9600,6,6,158500
11367,8,7,255000
26073,5,7,236500
7150,5,5,129250
15602,7,6,289000
10260,5,8,100000
12728,8,7,275000
11690,8,7,207000
9230,5,6,146000
1890,6,6,116000
9375,7,8,219500
3480,7,6,173000
17140,4,6,135000
8749,7,7,213000
11375,6,6,150000
3922,7,7,194201
3182,7,7,181000
9750,6,7,157900
13426,7,7,217000
10574,8,9,252000
8726,7,8,197000
7984,7,7,189500
8248,5,7,116000
9790,6,6,143000
7200,5,6,119000
7200,6,6,127500
8125,6,7,200825
8088,2,3,35000
12511,7,8,292500
1869,6,5,106000
9259,4,4,85000
16770,8,8,286500
4043,6,4,127500
9000,7,6,210400
12677,8,6,274000
12852,8,6,264966
10320,4,6,50000
10800,5,7,139000
19522,7,7,300000
13860,8,9,345000
11927,8,7,228000
11950,7,7,165500
9906,4,8,107000
4923,8,5,286000
7879,4,4,34900
7800,5,5,115000
3196,8,7,215000
9928,7,8,179900
6820,8,4,212000
13128,8,7,250000
6240,5,8,149000
8000,6,8,188000
10410,3,5,99800
10800,7,8,159500
13300,7,7,184500
9588,8,10,276000
2308,6,7,155000
13383,5,7,160000
9350,5,7,157500
9892,8,6,285000
8777,5,9,145900
10541,7,8,229000
5940,4,4,79000
10284,4,6,128500
9660,8,7,286000
10179,6,7,189500
9533,5,7,102900
5830,5,7,128500
12099,5,7,156000
12665,8,9,281213
27650,7,9,242000
17600,6,6,157500
7162,7,8,196500
8685,7,5,193000
6240,5,7,132000
6451,7,7,139900
8760,6,6,148000
12568,8,8,281500
13069,8,11,342000
11080,6,6,148000
10759,5,5,140000
8973,5,6,150000
10990,7,12,279500
3675,6,5,140000
8385,6,10,145000
5858,7,5,184000
3880,8,4,206000
1504,4,5,85500
11988,6,6,188700
10928,6,7,200000
10778,7,4,162000
10200,5,4,108000
9373,5,7,213000
12085,8,7,318000
8100,5,11,106000
19950,6,8,235000
9320,4,6,128950
10197,6,6,163000
8160,5,7,126000
11426,7,6,200000
11344,5,7,144000
8000,5,10,141000
11002,8,9,322500
12137,7,6,224900
21384,5,6,223500
8926,4,5,112000
8702,6,7,187500
10020,1,4,61000
12354,6,7,110000
4130,3,5,52000
6289,6,6,207000
8525,5,7,130000
10791,4,6,90000
10429,5,6,130000
7438,5,5,127000
11670,9,8,320000
10800,5,5,120000
11920,7,8,181000
9450,4,5,110000
7627,4,8,94550
5900,4,4,85500
9129,5,4,153500
13680,3,8,139600
9600,5,7,143000
14720,8,9,410000
8750,6,7,200000
7130,5,5,130000
9350,6,6,154400
8963,8,11,299800
9780,5,6,63000
5805,5,6,143000
8243,5,5,137500
